ds,y
2025-06-05,2301.91
2025-06-06,2316.32
2025-06-09,2303.94
2025-06-10,2276.92
2025-06-11,2251.1
2025-06-12,2229.75
2025-06-13,2197.73
2025-06-16,2167.87
2025-06-17,2147.51
2025-06-18,2061.95
2025-06-20,1969.45
2025-06-23,1976.3
2025-06-24,1935.67
2025-06-25,1917.3
2025-06-26,1905.98
2025-06-27,1877.02
2025-06-30,1834.36
2025-07-01,1807.41
2025-07-02,1779.95
2025-07-03,1742.2
2025-07-04,1724.8819580078125
2025-07-05,1724.8819580078125
2025-07-06,1724.8819580078125
2025-07-07,1730.4130859375
2025-07-08,1724.740966796875
