ds,y
2025-06-05,68.96
2025-06-06,68.75
2025-06-09,67.72
2025-06-10,66.81
2025-06-11,66.61
2025-06-12,66.07
2025-06-13,66.04
2025-06-16,65.98
2025-06-17,65.32
2025-06-18,65.21
2025-06-20,65.68
2025-06-23,65.69
2025-06-24,66.26
2025-06-25,66.27
2025-06-26,66.32
2025-06-27,66.42
2025-06-30,66.42
2025-07-01,66.99
2025-07-02,66.91
2025-07-03,67.25
2025-07-04,67.38693237304688
2025-07-05,67.38693237304688
2025-07-06,67.38693237304688
2025-07-07,67.35574340820312
2025-07-08,67.39503479003906
